year,geography,area_fips,area_title,industry_code,industry_title,own_code,own_title,agglvl_code,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,annual_avg_wkly_wage,avg_annual_pay
2006,US_national,US000,U.S. TOTAL,71,"Arts, entertainment, and recreation",5,Private,14,,122212,1901194,56941586592,576,29950
2007,US_national,US000,U.S. TOTAL,71,"Arts, entertainment, and recreation",5,Private,14,,124370,1953899,60393336465,594,30909
2008,US_national,US000,U.S. TOTAL,71,"Arts, entertainment, and recreation",5,Private,14,,125435,1978461,63220274966,615,31954
2009,US_national,US000,U.S. TOTAL,71,"Arts, entertainment, and recreation",5,Private,14,,124950,1921653,60787160363,608,31633
2010,US_national,US000,U.S. TOTAL,71,"Arts, entertainment, and recreation",5,Private,14,,124347,1903739,61451892655,621,32280
2011,US_national,US000,U.S. TOTAL,71,"Arts, entertainment, and recreation",5,Private,14,,124740,1922644,63338491821,634,32943
2012,US_national,US000,U.S. TOTAL,71,"Arts, entertainment, and recreation",5,Private,14,,126544,1975855,66676016800,649,33745
2013,US_national,US000,U.S. TOTAL,71,"Arts, entertainment, and recreation",5,Private,14,,128822,2029671,68667092262,651,33832
2014,US_national,US000,U.S. TOTAL,71,"Arts, entertainment, and recreation",5,Private,14,,132517,2094615,73033384887,671,34867
2015,US_national,US000,U.S. TOTAL,71,"Arts, entertainment, and recreation",5,Private,14,,135502,2160970,78072485561,695,36128
2016,US_national,US000,U.S. TOTAL,71,"NAICS 71 Arts, entertainment, and recreation",5,Private,14,,138206,2237922,82368650908,708,36806
2017,US_national,US000,U.S. TOTAL,71,"NAICS 71 Arts, entertainment, and recreation",5,Private,14,,141502,2293872,86614672017,726,37759
2018,US_national,US000,U.S. TOTAL,71,"NAICS 71 Arts, entertainment, and recreation",5,Private,14,,148237,2362663,91876041857,748,38887
2019,US_national,US000,U.S. TOTAL,71,"NAICS 71 Arts, entertainment, and recreation",5,Private,14,,154513,2426459,97193915672,770,40056
2020,US_national,US000,U.S. TOTAL,71,"NAICS 71 Arts, entertainment, and recreation",5,Private,14,,159416,1727920,78924344172,878,45676
2021,US_national,US000,U.S. TOTAL,71,"NAICS 71 Arts, entertainment, and recreation",5,Private,14,,163709,1978745,91504530803,889,46244
2022,US_national,US000,U.S. TOTAL,71,"NAICS 71 Arts, entertainment, and recreation",5,Private,14,,172885,2308345,112222248848,935,48616
2023,US_national,US000,U.S. TOTAL,71,"NAICS 71 Arts, entertainment, and recreation",5,Private,14,,180798,2486610,122251154735,945,49164
2024,US_national,US000,U.S. TOTAL,71,"NAICS 71 Arts, entertainment, and recreation",5,Private,14,,186268,2605233,131520239730,971,50483
2025,US_national,US000,U.S. TOTAL,71,"NAICS 71 Arts, entertainment, and recreation",5,Private,14,,191113,2667272,139093388764,1003,52148
2001,Austin_RoundRock_MSA,C1242,"Austin-Round Rock, TX MSA",7111,Performing arts companies,5,Private,46,N,0,0,0,0,0
2002,Austin_RoundRock_MSA,C1242,"Austin-Round Rock, TX MSA",7111,Performing arts companies,5,Private,46,,56,771,18637899,465,24171
2003,Austin_RoundRock_MSA,C1242,"Austin-Round Rock, TX MSA",7111,Performing arts companies,5,Private,46,,51,671,17157715,492,25574
2004,Austin_RoundRock_MSA,C1242,"Austin-Round Rock, TX MSA",7111,Performing arts companies,5,Private,46,,49,626,15893534,488,25376
2005,Austin_RoundRock_MSA,C1242,"Austin-Round Rock, TX MSA",7111,Performing arts companies,5,Private,46,,43,603,15085183,481,25013
2006,Austin_RoundRock_MSA,C1242,"Austin-Round Rock, TX MSA",7111,Performing arts companies,5,Private,46,,45,580,15747675,522,27147
2007,Austin_RoundRock_MSA,C1242,"Austin-Round Rock, TX MSA",7111,Performing arts companies,5,Private,46,,48,666,17258828,498,25911
2008,Austin_RoundRock_MSA,C1242,"Austin-Round Rock, TX MSA",7111,Performing arts companies,5,Private,46,,54,801,21662722,520,27031
