recipient_name,address,city,svog_zip,entity_type,total_awarded_usd,awarded_date,venue_key,venue_name,tier,district,match_method,uncertain_match,zip_agree,key_conflict,match_note
"NUTTY BROWN ENTERPRISES, LP",12225 HWY 290 WEST,AUSTIN,78737,Live venue operator or promoter,774741.56,2021-08-22,nuttybrown,Nutty Brown Cafe,core_live_music,Hill Country / W Travis,address,0,1,0,
"Belmont, The",305 W 6th Street,Austin,78701,Live venue operator or promoter,771288.19,2021-08-24,belmont,The Belmont,live_music_adjacent,Downtown,address,0,1,0,
"Old Settler's Music Festival, Inc",1616 FM 3158,Dale,78616,Live venue operator or promoter,749500,2021-07-09,,,,,unmatched,0,,0,
"Georgetown Palace Theatre, Inc",810 S Austin Ave,Georgetown,78626,Live performing arts organization operator,734279.19,2021-08-05,,,,,unmatched,0,,0,
"HRA Systems, Inc",1320 South Lamar,Austin,78704,Live venue operator or promoter,726616.88,2021-07-02,saxon,The Saxon Pub,core_live_music,South Lamar,address,0,1,0,
Austin Lyric Opera,3009 Industrial Terrace #100,Austin,78758,Theatrical producer,698438.13,2021-07-02,,,,,unmatched,0,,0,
Avanator Group Inc,"1700 Grand Avenue Pkwy, Suite 240",Pflugerville,78660,Live venue operator or promoter,664150.38,2021-08-05,,,,,unmatched,0,,0,
Dahlia Ltd dba C-Boy's Heart & Soul,2008 S. Congress Ave,Austin,78746,Live venue operator or promoter,652939.63,2021-07-07,cboys,C-Boy's Heart & Soul,core_live_music,South Congress,address,0,0,0,
"El Leon's East, LLC",1910 E. Cesar Chavez St.,Austin,78702,Live venue operator or promoter,650702.25,2021-06-28,coralsnake,The Coral Snake / Steely's Lodge,core_live_music,East Austin,address,0,1,0,
"Constant Saturday, LLC",2015 E Riverside Dr. Building #4,Austin,78741,Live venue operator or promoter,641502,2021-06-16,cati,Come and Take It Live,core_live_music,Southeast Austin,taxpayer_name,0,1,0,
"Greg Williams Entertainment, LLC",1304 Oxford Ave,Austin,78704,Talent representative,612463.94,2022-04-04,,,,,unmatched,0,,0,
STS Warehouse LLC,211 W. 4th St,Austin,78701,Live venue operator or promoter,607274.56,2021-08-26,,,,,unmatched,0,,0,
"BlancoNegro, LLC DBA The North Door",501 N IH 35,Austin,78702,Live venue operator or promoter,603345.44,2021-06-13,northdoor,The North Door / ND Austin,core_live_music,East Austin,dba_hand_verified,0,1,0,"Award names the trading name outright. The address key fails because the award writes 501 N IH 35 where the permit writes 501 N INTERSTATE 35, and that address is shared by three panel venues."
HANOVERS 2.0 LLC,16912 N Interstate 35,Austin,78727,Live venue operator or promoter,601715.25,2021-07-15,,,,,unmatched,0,,0,
RealMusic Events LLC,2912 Garwood Street Suite A,Austin,78702,Live venue operator or promoter,576887.38,2021-06-16,,,,,unmatched,0,,0,
"Splendid Sun Produtions, LLC",2205 E 21st Street,Austin,78722,Live venue operator or promoter,568954.88,2021-06-08,,,,,unmatched,0,,0,
French Smith DBA Roadway Productions,12305 Twin Creek Dr.,Manchaca,78652,Live venue operator or promoter,568105.19,2021-06-30,,,,,unmatched,0,,0,
Parker Jazz Inc,117 W 4th Street STE 107B,Austin,78701,Live venue operator or promoter,564840.5,2021-06-28,parker,Parker Jazz Club,core_live_music,Downtown,address,0,1,0,
Film Society of Austin Theater LLC,1901 E 51st St,Austin,78723,Motion picture theater operator,553507.06,2021-06-18,,,,,unmatched,0,,0,
"Rainmaker Entertainment Group, LLC",PO BOX 342229,Lakeway,78734,Talent representative,538105.06,2021-06-21,,,,,unmatched,0,,0,
Sunset Room LLC,310 East 3rd St.,Austin,78701,Live venue operator or promoter,531349,2021-07-15,,,,,unmatched,0,,0,
Blanton Museum of Art,"200 E. Martin Luther King Jr. Blvd., Stop D1303",Austin,78712,Museum Operator,526495.31,2021-07-27,,,,,unmatched,0,,0,
Moontime LLC dba The Hole in the Wall,2538 Guadalupe Street,Austin,78705,Live venue operator or promoter,521210.25,2021-08-26,holeinwall,Hole in the Wall,core_live_music,UT/Guadalupe,address,0,1,0,
ALT VISION INCORPORATED,1110 South Lamar Boulevard STE 1466,Austin,78704,Talent representative,520604.03,2021-06-21,,,,,unmatched,0,,0,
Hooms Inc.,208 E 6th Street,Austin,78701,Live venue operator or promoter,507564.97,2021-08-09,,,,,unmatched,0,,0,
VORTEX Repertory Company,2307 Manor Rd,Austin,78722,Live venue operator or promoter,504910.16,2021-07-16,vortex,The Vortex / Butterfly Bar,core_live_music,Manor Rd,address,0,1,0,
Levitation Partners LLC,2307 East 13th Street,Austin,78702,Live venue operator or promoter,504324.38,2021-07-14,,,,,unmatched,0,,0,
sharon burke,22308 Highway 71 W,Spicewood,78669,Live venue operator or promoter,483705.84,2021-07-28,poodies,Poodie's Hilltop Roadhouse,core_live_music,Hill Country / W Travis,address,0,1,0,"Recipient is a natural person. Only the street address ties the award to the permit, which is held by Hilltop Bar and Grill, Inc."
Bucks Backyard LLC,1750 S FM 1626,Buda,78610,Live venue operator or promoter,476853.56,2021-07-13,,,,,unmatched,0,,0,
Seismic Dance Event LLC,2912 Garwood Street Suite A,Austin,78702,Live venue operator or promoter,466598.81,2021-07-03,,,,,unmatched,0,,0,
"The Parish Austin, LLC",214 E 6th St,Austin,78701,Live venue operator or promoter,430363.13,2021-06-19,parish_ih35,The Parish (501 N IH-35),core_live_music,East Austin,taxpayer_over_address,1,0,1,"Award address is the former 214 E 6th room, which stopped filing 2017-12. Legal name is the taxpayer for the 501 N IH-35 room, which was the operating Parish on the award date."
"EMO NIGHT BROOKLYN, LLC","1700 E 4TH ST, APT 2261",AUSTIN,78702,Live venue operator or promoter,429703.72,2021-06-14,,,,,unmatched,0,,0,
Dei Gratia Inc,705 Red River St,Austin,78701,Live venue operator or promoter,416739.47,2021-07-07,elysium,Elysium,core_live_music,Red River Cultural District,address,0,1,0,
Improv Productions LLC,617 Congress Ave,Austin,78701,Live venue operator or promoter,412561.66,2021-06-18,,,,,unmatched,0,,0,
Hotluck LLC,1208 East 7th Street 2nd Floor,Austin,78702,Live venue operator or promoter,396750.16,2021-07-10,,,,,unmatched,0,,0,
"Conspirare, Inc.",1812 Centre Creek Dr. Suite 110,Austin,78754,Live performing arts organization operator,374557.09,2021-07-01,,,,,unmatched,0,,0,
Giddy Ups LLC,12010 Manchaca Road,Austin,78748,Live venue operator or promoter,339436.38,2021-07-15,giddyups,Giddy Ups,core_live_music,South Austin,taxpayer_name,0,1,0,
Gemini Bar LLC,119 Cheatham Street,San Marcos,78666,Live venue operator or promoter,338786.47,2021-06-22,,,,,unmatched,0,,0,
Jam City LLC,P.O. Box 49703,Austin,78765,Live performing arts organization operator,309660.38,2021-08-26,,,,,unmatched,0,,0,
Motion Media,2200 Tillery Street,Austin,78723,Live venue operator or promoter,307958.75,2021-10-20,,,,,unmatched,0,,0,
Hudson's On Mercer Street,381 W. Mercer Street,Dripping Springs,78620,Live venue operator or promoter,304996.97,2021-07-06,,,,,unmatched,0,,0,
"Western and Southern Arts Associates, Inc. (DBA Holden & Arts Associat",3007 East 13th Street,Austin,78702,Talent representative,296147.66,2021-06-26,,,,,unmatched,0,,0,
Flamingo Cantina Inc,515 E 6th St,Austin,78732,Live venue operator or promoter,295764.09,2021-06-12,flamingo,Flamingo Cantina,core_live_music,Downtown/6th,address,0,0,0,
Fuse Box Austin,2824 Real St,Austin,78722,Live performing arts organization operator,280212.19,2021-10-06,,,,,unmatched,0,,0,
Rock Ridge Principals LLC,2603 Berenson Lane,Austin,78746,Motion picture theater operator,274682.31,2021-06-30,,,,,unmatched,0,,0,
Two Elm LLC,617 E 7th St.,AUSTIN,78701,Live venue operator or promoter,273734.91,2021-08-24,scratchouse,Scratchouse (617 E 7th successor),core_live_music,East Austin,taxpayer_name,0,1,0,
"Come And Take It Productions, LLC",213 Otono Loop,Kyle,78640,Live venue operator or promoter,271795.41,2021-06-13,,,,,unmatched,0,,0,"Promoter arm of the same trading name, filed from a Kyle address. Left unmatched on purpose; the venue itself matches through Constant Saturday, LLC."
Rich Man Incorporated,19906 Siesta Shores Dr,Spicewood,78669,Live performing arts organization operator,264748.5,2021-08-22,,,,,unmatched,0,,0,
PLAZA R3 LLC DBA PLAZA DE TOROS R3,7704 S FM 973,AUSTIN,78719,Live venue operator or promoter,260660.05,2021-07-27,,,,,unmatched,0,,0,
Austin Scottish Rite Community and Children's Theater,207 W 18th St,Austin,78701,Live performing arts organization operator,253156.25,2021-07-15,,,,,unmatched,0,,0,
The Museum of Human Achievement,3600 Lyons Rd.,Austin,78702,Live venue operator or promoter,244779.31,2021-07-12,,,,,unmatched,0,,0,
Hello Entertainment Group LLC,1401 Lavaca St #162,Austin,78701,Live venue operator or promoter,244224,2021-10-27,,,,,unmatched,0,,0,
TexARTS Association for Visual and Performing Arts,2300 Lohmans Spur STE 160,Austin,78734,Live performing arts organization operator,243787.03,2021-07-03,,,,,unmatched,0,,0,
Mercer Street Dance Hall LLC,23490 Ranch Road 12,Driftwood,78619,Live venue operator or promoter,234205.44,2021-09-23,,,,,unmatched,0,,0,
"UTOPiAfest, LLC",16238 Oak Grove Rd. Unit A,Buda,78610,Live venue operator or promoter,225708.47,2021-07-10,,,,,unmatched,0,,0,
415 Productions LLC,555 E 5TH STREET #823,AUSTIN,78701,Live venue operator or promoter,208909.13,2021-06-14,,,,,unmatched,0,,0,
"That's How It Starts Event Management, LLC",211 Sleat Dr.,Spicewood,78669,Live venue operator or promoter,207836.55,2021-10-12,,,,,unmatched,0,,0,
Austin Classical Guitar Society,PO Box 4072,Austin,78765,Live performing arts organization operator,196088.41,2021-07-14,,,,,unmatched,0,,0,
"Boukarou International, LLC DBA Sahara Lounge",1413 Webberville Road,Austin,78721,Live venue operator or promoter,194059.84,2021-06-19,sahara,The Sahara Lounge,core_live_music,East Austin,address,0,1,0,
"TS Management, LLC",1150 CR 155,Georgetown,78626,Talent representative,178982.94,2021-06-27,,,,,unmatched,0,,0,
HYDE PARK THEATRE,511 W 43rd St,Austin,78751,Theatrical producer,172901.8,2021-07-13,,,,,unmatched,0,,0,
PURPLE XPERIENCE,13115 MANSFIELD DRIVE,AUSTIN,78732,Live performing arts organization operator,160462.09,2021-07-22,,,,,unmatched,0,,0,
Leprechaun Productions LLC,2200 FM 2001,Buda,78610,Live venue operator or promoter,151921.23,2021-06-12,,,,,unmatched,0,,0,
Austin Overtures Corporation,16104 Fisher Hollow Trail,Leander,78641,Live venue operator or promoter,151898.45,2021-07-03,,,,,unmatched,0,,0,
"Simply Speaking, Inc.",4807 Spicewood Springs Rd Suite 1120,Austin,78759,Talent representative,148166.66,2021-07-10,,,,,unmatched,0,,0,
Visions in Rhythm (DBA - Tapestry Dance Company),7325 Gaines Mill Lane,Austin,78745,Live performing arts organization operator,135864.44,2021-07-01,,,,,unmatched,0,,0,
Austin Playhouse,2902 Oakmont Blvd,Austin,78763,Live venue operator or promoter,129754.53,2021-07-08,,,,,unmatched,0,,0,
Ground Floor Theatre,979 Springdale Rd Ste 122,Austin,78702,Live venue operator or promoter,119559.1,2021-07-03,,,,,unmatched,0,,0,
Pivotal Agency LLC,505 W Alpine Rd Unit A,Austin,78704,Talent representative,119150.47,2021-07-01,,,,,unmatched,0,,0,
Austin Chamber Music Center,7600 Burnet Rd. Suite 190,Austin,78757,Live performing arts organization operator,113745.45,2021-07-07,,,,,unmatched,0,,0,
"Farney Entertainment, L.P.",1008 South Main St.,Georgetown,78626,Motion picture theater operator,105373.58,2021-06-19,,,,,unmatched,0,,0,
Austin Swing Syndicate Inc,1108 Lavaca Suite 110-273,Austin,78701,Live performing arts organization operator,100230.42,2021-07-19,,,,,unmatched,0,,0,
"Bastrop Opera House, Inc.",711 Spring Street,Bastrop,78602,Live performing arts organization operator,89945.258,2021-09-14,,,,,unmatched,0,,0,
Capital City Mens Chorus dba Austin Gay Mens Chorus,2418 Spring Ln POB 50082,Austin,78703,Live performing arts organization operator,88907.82,2021-07-28,,,,,unmatched,0,,0,
Indigenous Cultures Institute,600 Boulder Bluff,San Marcos,78666,Live performing arts organization operator,78165.68,2021-06-27,,,,,unmatched,0,,0,
"Block89, LLC",711 Red River St.,Austin,78701,Live venue operator or promoter,76794,2021-07-12,redriverhosp,Beerland successor (Red River Hospitality),core_live_music,Red River Cultural District,taxpayer_name,0,1,0,
Davis McLarty Agency,P.O. Box 40727,Austin,78704,Talent representative,75897.047,2021-07-08,,,,,unmatched,0,,0,
"The Wimberley Players, Inc.",450 Old Kyle RD,Wimberley,78676,Live performing arts organization operator,69225,2021-07-11,,,,,unmatched,0,,0,
Austin Curling Center LLC,6218 Brodie Lane,Austin,78745,Live venue operator or promoter,67921,2021-07-23,,,,,unmatched,0,,0,
"The McMahon Group, Inc.",5505 Patagonia Pass,Be Cave,78738,Live venue operator or promoter,67500,2021-07-24,,,,,unmatched,0,,0,
Indian Classical Music Circle of Austin,PO Box 203454,Austin,78720,Live performing arts organization operator,51745.5,2021-09-22,,,,,unmatched,0,,0,
"Galvan Productions, LLC",823 Congress Ave Ste 150-484,Austin,78701,Live venue operator or promoter,49626.18,2021-07-27,,,,,unmatched,0,,0,
"Austin Shakespeare Festival Company, Inc.","81 San Marcos St, C2",Austin,78702,Live performing arts organization operator,45977.73,2021-07-11,,,,,unmatched,0,,0,
Penfold Theatre Company,PO Box 81044,Austin,78708,Theatrical producer,44633.02,2021-07-03,,,,,unmatched,0,,0,
Hot Rhythm Foundation,2210 Waterway Bnd,Austin,78728,Live performing arts organization operator,42456.262,2021-08-10,,,,,unmatched,0,,0,
Sam Bass Theatre Association,PO Box 767,Round Rock,78680,Live performing arts organization operator,42440.34,2021-07-21,,,,,unmatched,0,,0,
No Door Agency LLC,804 Rutherford Place APT B,Austin,78704,Talent representative,41943.969,2021-10-21,,,,,unmatched,0,,0,
King of Queens Entertainment,1000 E 5th st 439,Austin,78702,Talent representative,39518.18,2021-08-03,,,,,unmatched,0,,0,
Access ATX LLC dba Twisted Texas Tour,7421 Burnet Road Unit 530,Austin,78757,Live venue operator or promoter,35571.648,2021-06-19,,,,,unmatched,0,,0,
RAGNARS ON THE COMPOUND LLC,6900 RANCH ROAD 12 STE C,SAN MARCOS,78666,Live venue operator or promoter,35214,2021-06-18,,,,,unmatched,0,,0,
NMRT LLC,210 Peach Street,Buda,78610,Talent representative,28446.199,2021-06-18,,,,,unmatched,0,,0,
Indras Awarehouse,7904 fm 969,austin,78724,Live performing arts organization operator,23053.5,2021-07-19,,,,,unmatched,0,,0,
Georgetown Art Works,816 South Main Street,Georgetown,78626,Museum Operator,20127.18,2021-07-12,,,,,unmatched,0,,0,
Line Upon Line Percussion,PO Box 49890,Austin,78765,Live performing arts organization operator,19998.551,2021-09-23,,,,,unmatched,0,,0,
Other Worlds Film Fest,6700 Middle Fiskville St Suite 304,Austin,78752,Live venue operator or promoter,17515.131,2021-08-20,,,,,unmatched,0,,0,
Texas Comedies,2603 Addison Ave,Austin,78757,Live performing arts organization operator,16200,2021-08-16,,,,,unmatched,0,,0,
NEW SCHOOL OF MUSIC INC,308-B CONGRESS AVE,Austin,78701,Live performing arts organization operator,13707.81,2021-09-03,,,,,unmatched,0,,0,
EXPLODED DRAWING,6709 Tulane Dr.,Austin,78723,Live performing arts organization operator,10843.88,2021-07-13,,,,,unmatched,0,,0,
SECESSION ENTERTAINMENT,2724 Garnet Ridge Dr.,Leander,78641,Live venue operator or promoter,6401.25,2021-07-12,,,,,unmatched,0,,0,
Current Events LLC,19501 Single Peak Cove,Spicewood,78669,Live venue operator or promoter,1700,2021-07-14,,,,,unmatched,0,,0,
