SERIALNO,SPORDER,PUMA,ST,ADJINC,PWGTP,AGEP,COW,MAR,SCHL,SEMP,SEX,WAGP,WKHP,WKWN,ESR,HICOV,HISP,OCCP,PERNP,PINCP,PRIVCOV,PUBCOV,RAC1P,occp_label
2021HU1181990,01,05306,48,1193241,69,21,1,5,20,0,2,20000,40,12,6.0,1,01,2850.0,20000,20000,1,2,9,Writers and Authors
2021HU1184054,02,01905,48,1193241,17,40,6,1,19,24000,1,0,60,52,1.0,2,02,2910.0,24000,24000,2,2,8,Photographers
2021HU1186942,02,02507,48,1193241,9,66,1,1,21,0,2,0,,,6.0,1,01,2634.0,0,60700,1,1,1,Graphic Designers
2021HU1187935,01,05306,48,1193241,23,39,1,5,20,0,1,40000,40,52,1.0,1,01,2910.0,40000,40000,1,2,1,Photographers
2021HU1187935,02,05306,48,1193241,36,35,1,5,16,0,1,58000,40,52,1.0,2,02,2910.0,58000,58000,2,2,8,Photographers
2021HU1188104,01,02005,48,1193241,20,24,1,5,19,0,2,2000,30,30,3.0,1,01,2850.0,2000,2000,1,2,1,Writers and Authors
2021HU1189161,02,02512,48,1193241,14,39,7,1,19,0,1,35000,40,52,1.0,2,02,2910.0,35000,35000,2,2,9,Photographers
2021HU1190048,04,02310,48,1193241,33,42,6,1,21,0,1,0,,,6.0,1,01,2752.0,0,0,1,2,1,Musicians and Singers
2021HU1190050,01,04636,48,1193241,43,39,2,5,21,0,2,39000,40,52,1.0,1,01,2710.0,39000,39000,1,2,1,Producers and Directors
2021HU1190468,01,04636,48,1193241,73,34,6,3,20,-8400,1,40000,6,40,1.0,2,01,2850.0,31600,51600,2,2,9,Writers and Authors
2021HU1191018,02,04612,48,1193241,14,70,6,1,15,0,2,0,,,6.0,1,01,2910.0,0,10340,2,1,1,Photographers
2021HU1193084,02,03900,48,1193241,8,28,1,1,17,0,1,29800,35,40,1.0,1,01,2910.0,29800,29800,1,2,1,Photographers
2021HU1193128,02,04615,48,1193241,31,40,1,1,21,0,1,21300,40,23,1.0,1,02,2634.0,21300,21300,1,2,9,Graphic Designers
2021HU1194593,01,02307,48,1193241,7,56,7,1,21,50000,1,50000,60,52,1.0,2,01,2910.0,100000,100000,2,2,1,Photographers
2021HU1194605,02,02511,48,1193241,9,66,3,3,17,0,2,0,,,6.0,1,01,2634.0,0,33900,2,1,1,Graphic Designers
2021HU1194816,01,04614,48,1193241,28,65,6,5,21,4500,2,0,45,52,1.0,1,01,2910.0,4500,24500,1,2,9,Photographers
2021HU1196273,02,03502,48,1193241,27,64,2,1,21,0,2,12000,3,52,1.0,1,01,2752.0,12000,12000,1,2,1,Musicians and Singers
2021HU1201524,01,05909,48,1193241,14,27,1,5,21,0,1,35000,60,52,1.0,1,01,2710.0,35000,35000,1,2,9,Producers and Directors
2021HU1201785,01,05302,48,1193241,9,70,6,3,19,11800,1,0,16,10,1.0,1,01,2910.0,11800,29800,2,1,1,Photographers
2021HU1201904,01,02003,48,1193241,63,46,2,5,24,10000,2,75000,55,52,1.0,1,01,2751.0,85000,85130,1,2,6,Music Directors and Composers
2021HU1203088,01,01901,48,1193241,12,32,1,1,21,0,2,70000,40,52,1.0,1,01,2634.0,70000,70000,1,2,6,Graphic Designers
2021HU1204214,01,02311,48,1193241,10,34,6,1,20,15000,1,30000,16,25,1.0,1,01,2910.0,45000,45400,1,2,1,Photographers
