"fiscal_year","contractor","award"
"1986-09-30T00:00:00.000","La Peña","8082"
"2020-09-30T00:00:00.000","Sightlines","5063"
"2021-09-30T00:00:00.000","Dance Waterloo","6185"
"2023-09-30T00:00:00.000","MAS Cultura","5000"
"1982-09-30T00:00:00.000","Austin Choral Union","3266"
"1982-09-30T00:00:00.000","Chorus Austin","8028"
"1982-09-30T00:00:00.000","Austin Symphony Orchestra Society, Inc.","61551"
"1983-09-30T00:00:00.000","Ballet East Dance Company","4391"
"1983-09-30T00:00:00.000","Austin Choral Union","4640"
"1983-09-30T00:00:00.000","Austin Creative Alliance","5579"
"1983-09-30T00:00:00.000","Sharir + Bustamante Danceworks","6873"
"1983-09-30T00:00:00.000","Chorus Austin","6957"
"1983-09-30T00:00:00.000","Austin Visual Arts Association","10455"
"1983-09-30T00:00:00.000","Texas Circuit","12787"
"1983-09-30T00:00:00.000","Capitol City Playhouse","16503"
"1983-09-30T00:00:00.000","Dance Umbrella","17639"
"1983-09-30T00:00:00.000","Austin Federation of Musicians","20873"
"1983-09-30T00:00:00.000","Academia (Aztlan) De Danza Y Folklore","22095"
"1983-09-30T00:00:00.000","Center For Women & Their Work","26940"
"1983-09-30T00:00:00.000","Ballet Austin, Inc.","41613"
"1983-09-30T00:00:00.000","Austin Theatre Alliance (formerly Paramount Theatre and State Theatre)","53426"
"1983-09-30T00:00:00.000","Austin Symphony Orchestra Society, Inc.","64089"
"1983-09-30T00:00:00.000","Zachary Scott Theatre Center","402469"
"1984-09-30T00:00:00.000","Austin Civic Orchestra Society","1300"
"1984-09-30T00:00:00.000","Chorus Austin","4305"
"1984-09-30T00:00:00.000","Austin Creative Alliance","4900"
"1984-09-30T00:00:00.000","Ballet East Dance Company","5086"
"1984-09-30T00:00:00.000","Sharir + Bustamante Danceworks","8000"
"1984-09-30T00:00:00.000","Austin Choral Union","10650"
"1984-09-30T00:00:00.000","Texas Circuit","11888"
"1984-09-30T00:00:00.000","Austin Visual Arts Association","12384"
"1984-09-30T00:00:00.000","Dance Umbrella","15974"
"1984-09-30T00:00:00.000","Capitol City Playhouse","20000"
"1984-09-30T00:00:00.000","Academia (Aztlan) De Danza Y Folklore","23167"
"1984-09-30T00:00:00.000","Austin Federation of Musicians","27794"
"1984-09-30T00:00:00.000","Center For Women & Their Work","28325"
"1984-09-30T00:00:00.000","Ballet Austin, Inc.","43275"
"1984-09-30T00:00:00.000","Austin Theatre Alliance (formerly Paramount Theatre and State Theatre)","56000"
"1984-09-30T00:00:00.000","Austin Symphony Orchestra Society, Inc.","66653"
"1984-09-30T00:00:00.000","Zachary Scott Theatre Center","400632"
"1985-09-30T00:00:00.000","Austin Chamber Music Center, Inc.","1109"
"1985-09-30T00:00:00.000","Austin Civic Orchestra Society","1294"
"1985-09-30T00:00:00.000","La Peña","1560"
"1985-09-30T00:00:00.000","Austin Symphonic Band","1571"
"1985-09-30T00:00:00.000","Chorus Austin","4252"
"1985-09-30T00:00:00.000","Texas Circuit","4622"
"1985-09-30T00:00:00.000","Austin Creative Alliance","10167"
"1985-09-30T00:00:00.000","Sharir + Bustamante Danceworks","10167"
"1985-09-30T00:00:00.000","Austin Choral Union","11552"
"1985-09-30T00:00:00.000","Ballet East Dance Company","12333"
"1985-09-30T00:00:00.000","Academia (Aztlan) De Danza Y Folklore","17300"
"1985-09-30T00:00:00.000","Austin Visual Arts Association","19268"
"1985-09-30T00:00:00.000","Dance Umbrella","22066"
"1985-09-30T00:00:00.000","Capitol City Playhouse","24029"
"1985-09-30T00:00:00.000","Austin Federation of Musicians","26962"
"1985-09-30T00:00:00.000","Center For Women & Their Work","29416"
"1985-09-30T00:00:00.000","Ballet Austin, Inc.","43900"
"1985-09-30T00:00:00.000","Austin Theatre Alliance (formerly Paramount Theatre and State Theatre)","56865"
"1985-09-30T00:00:00.000","Austin Symphony Orchestra Society, Inc.","65298"
"1985-09-30T00:00:00.000","Zachary Scott Theatre Center","417349"
"1986-09-30T00:00:00.000","Austin Chamber Music Center, Inc.","1500"
"1986-09-30T00:00:00.000","Austin Civic Orchestra Society","2500"
"1986-09-30T00:00:00.000","Austin Symphonic Band","2800"
"1986-09-30T00:00:00.000","Chorus Austin","4000"
"1986-09-30T00:00:00.000","Austin Children's Museum DBA Thinkery","5000"
"1986-09-30T00:00:00.000","Texas Circuit","7000"
"1986-09-30T00:00:00.000","Mexic-Arte Museum","10500"
"1986-09-30T00:00:00.000","Academia (Aztlan) De Danza Y Folklore","11500"
"1986-09-30T00:00:00.000","Sharir + Bustamante Danceworks","13000"
"1986-09-30T00:00:00.000","Roy Lozano's Ballet Folklorico de Texas","14000"
"1986-09-30T00:00:00.000","Austin Creative Alliance","15500"
"1986-09-30T00:00:00.000","Austin Choral Union","17190"
"1986-09-30T00:00:00.000","Austin Visual Arts Association","17500"
"1986-09-30T00:00:00.000","Ballet East Dance Company","24167"
"1986-09-30T00:00:00.000","Dance Umbrella","25000"
"1986-09-30T00:00:00.000","Capitol City Playhouse","28000"
"1986-09-30T00:00:00.000","Austin Federation of Musicians","30000"
"1986-09-30T00:00:00.000","Center For Women & Their Work","32500"
"1986-09-30T00:00:00.000","Ballet Austin, Inc.","62700"
"1986-09-30T00:00:00.000","Austin Theatre Alliance (formerly Paramount Theatre and State Theatre)","63800"
"1986-09-30T00:00:00.000","Austin Symphony Orchestra Society, Inc.","74341"
"1986-09-30T00:00:00.000","Zachary Scott Theatre Center","479283"
"1987-09-30T00:00:00.000","Austin Chamber Music Center, Inc.","1351"
"1987-09-30T00:00:00.000","Austin Symphonic Band","1902"
"1987-09-30T00:00:00.000","Texas Folklife Resources","3131"
"1987-09-30T00:00:00.000","Chorus Austin","3483"
"1987-09-30T00:00:00.000","Austin Civic Orchestra Society","4222"
"1987-09-30T00:00:00.000","Texas Circuit","9400"
"1987-09-30T00:00:00.000","Ballet East Dance Company","10000"
"1987-09-30T00:00:00.000","Academia (Aztlan) De Danza Y Folklore","10500"
"1987-09-30T00:00:00.000","Austin Choral Union","15202"
"1987-09-30T00:00:00.000","Austin Children's Museum DBA Thinkery","15500"
"1987-09-30T00:00:00.000","Sharir + Bustamante Danceworks","15600"
"1987-09-30T00:00:00.000","Roy Lozano's Ballet Folklorico de Texas","18000"
"1987-09-30T00:00:00.000","Austin Visual Arts Association","20648"
"1987-09-30T00:00:00.000","La Peña","22298"
"1987-09-30T00:00:00.000","Austin Creative Alliance","23000"
"1987-09-30T00:00:00.000","Dance Umbrella","23715"
"1987-09-30T00:00:00.000","Austin Federation of Musicians","24190"
"1987-09-30T00:00:00.000","Capitol City Playhouse","26155"
"1987-09-30T00:00:00.000","Mexic-Arte Museum","32456"
"1987-09-30T00:00:00.000","Center For Women & Their Work","37670"
"1987-09-30T00:00:00.000","Ballet Austin, Inc.","64702"
"1987-09-30T00:00:00.000","Austin Symphony Orchestra Society, Inc.","65505"
"1987-09-30T00:00:00.000","Austin Theatre Alliance (formerly Paramount Theatre and State Theatre)","65627"
"1987-09-30T00:00:00.000","Zachary Scott Theatre Center","466387"
"1988-09-30T00:00:00.000","Chorus Austin","959"
"1988-09-30T00:00:00.000","Austin Symphonic Band","1242"
"1988-09-30T00:00:00.000","Austin Chamber Music Center, Inc.","1601"
"1988-09-30T00:00:00.000","Texas Music Museum","2375"
"1988-09-30T00:00:00.000","Austin Civic Orchestra Society","2942"
"1988-09-30T00:00:00.000","Austin Choral Union","5024"
"1988-09-30T00:00:00.000","Different Stages, Inc.","5042"
"1988-09-30T00:00:00.000","Texas Circuit","8159"
"1988-09-30T00:00:00.000","Austin Lyric Opera dba Austin Opera","8408"
"1988-09-30T00:00:00.000","Ballet East Dance Company","10000"
"1988-09-30T00:00:00.000","Academia (Aztlan) De Danza Y Folklore","10488"
"1988-09-30T00:00:00.000","Texas Folklife Resources","10784"
"1988-09-30T00:00:00.000","Sharir + Bustamante Danceworks","11600"
"1988-09-30T00:00:00.000","Austin Children's Museum DBA Thinkery","12411"
"1988-09-30T00:00:00.000","Dance Umbrella","13818"
"1988-09-30T00:00:00.000","Austin Visual Arts Association","14250"
"1988-09-30T00:00:00.000","Roy Lozano's Ballet Folklorico de Texas","15532"
"1988-09-30T00:00:00.000","Austin Federation of Musicians","16659"
"1988-09-30T00:00:00.000","La Peña","19155"
"1988-09-30T00:00:00.000","Austin Creative Alliance","19950"
"1988-09-30T00:00:00.000","Capitol City Playhouse","22081"
"1988-09-30T00:00:00.000","Mexic-Arte Museum","26155"
"1988-09-30T00:00:00.000","Center For Women & Their Work","27685"
"1988-09-30T00:00:00.000","Zachary Scott Theatre Center","33542"
"1988-09-30T00:00:00.000","Ballet Austin, Inc.","40477"
"1988-09-30T00:00:00.000","Austin Symphony Orchestra Society, Inc.","50691"
"1988-09-30T00:00:00.000","Austin Theatre Alliance (formerly Paramount Theatre and State Theatre)","56085"
"1990-09-30T00:00:00.000","Austin Chamber Music Center, Inc.","1223"
"1990-09-30T00:00:00.000","Austin Chamber Ensemble","1287"
"1990-09-30T00:00:00.000","Austin Symphonic Band","1600"
"1990-09-30T00:00:00.000","Austin Civic Wind Ensemble","1675"
"1990-09-30T00:00:00.000","Texas Music Museum","2105"
"1990-09-30T00:00:00.000","Remembrance Through the Performing Arts","2776"
"1990-09-30T00:00:00.000","Chorus Austin","3424"
"1990-09-30T00:00:00.000","Austin Civic Orchestra Society","4280"
"1990-09-30T00:00:00.000","Texas Folklife Resources","4892"
"1990-09-30T00:00:00.000","Texas Circuit","9049"
"1990-09-30T00:00:00.000","Creative Opportunity Orchestra, Inc.","9051"
"1990-09-30T00:00:00.000","Different Stages, Inc.","9875"
"1990-09-30T00:00:00.000","Austin Choral Union","12705"
"1990-09-30T00:00:00.000","Ballet East Dance Company","15654"
"1990-09-30T00:00:00.000","Austin Creative Alliance","18344"
"1990-09-30T00:00:00.000","Dance Umbrella","18955"
"1990-09-30T00:00:00.000","Austin Children's Museum DBA Thinkery","23602"
"1990-09-30T00:00:00.000","Roy Lozano's Ballet Folklorico de Texas","26078"
"1990-09-30T00:00:00.000","La Peña","26904"
"1990-09-30T00:00:00.000","Austin Federation of Musicians","36361"
"1990-09-30T00:00:00.000","Capitol City Playhouse","37036"
"1990-09-30T00:00:00.000","Center For Women & Their Work","37554"
"1990-09-30T00:00:00.000","Austin Theatre Alliance (formerly Paramount Theatre and State Theatre)","38080"
"1990-09-30T00:00:00.000","Sharir + Bustamante Danceworks","38600"
"1990-09-30T00:00:00.000","Mexic-Arte Museum","44862"
"1990-09-30T00:00:00.000","Austin Lyric Opera dba Austin Opera","45521"
"1990-09-30T00:00:00.000","Ballet Austin, Inc.","52582"
"1990-09-30T00:00:00.000","Zachary Scott Theatre Center","57472"
"1990-09-30T00:00:00.000","Austin Symphony Orchestra Society, Inc.","72148"
"1991-09-30T00:00:00.000","Austin Chamber Ensemble","1417"
"1991-09-30T00:00:00.000","Austin Civic Wind Ensemble","1710"
"1991-09-30T00:00:00.000","Texas Folklife Resources","2000"
"1991-09-30T00:00:00.000","Austin Chamber Music Center, Inc.","2176"
"1991-09-30T00:00:00.000","Chamber Soloists of Austin, Inc.","3744"
"1991-09-30T00:00:00.000","Texas Music Museum","4000"
"1991-09-30T00:00:00.000","Austin Symphonic Band","4326"
"1991-09-30T00:00:00.000","Austin Boys Choir","6784"
"1991-09-30T00:00:00.000","Austin Civic Orchestra Society","7254"
"1991-09-30T00:00:00.000","Texas Circuit","9012"
"1991-09-30T00:00:00.000","Chorus Austin","9234"
"1991-09-30T00:00:00.000","Vortex Repertory Company","9500"
"1991-09-30T00:00:00.000","Austin Choral Union","9741"
"1991-09-30T00:00:00.000","Creative Opportunity Orchestra, Inc.","10000"
"1991-09-30T00:00:00.000","Austin Creative Alliance","12000"
"1991-09-30T00:00:00.000","Austin Contemporary Ballet/ Texas Youth Ballet","12612"
"1991-09-30T00:00:00.000","Ballet East Dance Company","15000"
"1991-09-30T00:00:00.000","Different Stages, Inc.","15000"
"1991-09-30T00:00:00.000","Jumpstart Artist Group","15000"
"1991-09-30T00:00:00.000","Dance Umbrella","25000"
"1991-09-30T00:00:00.000","Roy Lozano's Ballet Folklorico de Texas","26000"
"1991-09-30T00:00:00.000","La Peña","30472"
"1991-09-30T00:00:00.000","Sharir + Bustamante Danceworks","36498"
"1991-09-30T00:00:00.000","Austin Federation of Musicians","37780"
"1991-09-30T00:00:00.000","Capitol City Playhouse","38000"
"1991-09-30T00:00:00.000","Zachary Scott Theatre Center","43000"
"1991-09-30T00:00:00.000","Center For Women & Their Work","43436"
"1991-09-30T00:00:00.000","Austin Theatre Alliance (formerly Paramount Theatre and State Theatre)","44541"
"1991-09-30T00:00:00.000","Austin Children's Museum DBA Thinkery","48700"
"1991-09-30T00:00:00.000","Ballet Austin, Inc.","49060"
"1991-09-30T00:00:00.000","Mexic-Arte Museum","51200"
"1991-09-30T00:00:00.000","Austin Lyric Opera dba Austin Opera","52000"
"1991-09-30T00:00:00.000","Austin Symphony Orchestra Society, Inc.","72500"
"1993-09-30T00:00:00.000","Austin Chamber Ensemble","1500"
"1993-09-30T00:00:00.000","Borderlands Texas Poetry aka Texas Poetry Review (also Ramona Cearley)","1500"
"1993-09-30T00:00:00.000","Gilbert & Sullivan Society of Austin, Texas, Inc.","1500"
"1993-09-30T00:00:00.000","Sankofa (Foscette), Nailah","1500"
"1993-09-30T00:00:00.000","Austin Children's Choir","2025"
"1993-09-30T00:00:00.000","Red Salmon Arts","2400"
"1993-09-30T00:00:00.000","Veintemillas, Carlos","2583"
"1993-09-30T00:00:00.000","Texas Music Museum","2650"
"1993-09-30T00:00:00.000","Youth Ballet Theatre","2700"
"1993-09-30T00:00:00.000","Austin Dance Ensemble","3000"
"1993-09-30T00:00:00.000","Second Youth","3000"
"1993-09-30T00:00:00.000","Teatro Comunitario en Español","3000"
"1993-09-30T00:00:00.000","Austin Chamber Music Center, Inc.","3004"
"1993-09-30T00:00:00.000","Johnson/Long Dance Company","3065"
"1993-09-30T00:00:00.000","Bright, Susan","3200"
"1993-09-30T00:00:00.000","Performance Encounters","3400"
"1993-09-30T00:00:00.000","Outreach Productions","3411"
"1993-09-30T00:00:00.000","Ariel Dance Theatre","3500"
"1993-09-30T00:00:00.000","Bravo, Maria","3500"
"1993-09-30T00:00:00.000","Film Society of Austin, Inc.","3740"
"1993-09-30T00:00:00.000","River City Pops","4000"
"1993-09-30T00:00:00.000","Day Without Art","4035"
"1993-09-30T00:00:00.000","Austin Civic Orchestra Society","4600"
"1993-09-30T00:00:00.000","Austin Shakespeare Festival","4750"
"1993-09-30T00:00:00.000","Pulido, Pio","4923"
"1993-09-30T00:00:00.000","Mexic-Arte Museum/ Robert Rodriguez","5447"
"1993-09-30T00:00:00.000","Chorus Austin","6600"
"1993-09-30T00:00:00.000","First Stage Productions","6745"
"1993-09-30T00:00:00.000","Arthouse at the Jones Center (merged into AMOA during FY2012)","7009"
"1993-09-30T00:00:00.000","Artists' Legal & Accounting Assistance of Austin","7262"
"1993-09-30T00:00:00.000","Chamber Soloists of Austin, Inc.","7300"
"1993-09-30T00:00:00.000","Austix","7636"
"1993-09-30T00:00:00.000","Visions in Rhythm aka Tapestry Dance Company","7788"
"1993-09-30T00:00:00.000","Austin Choral Union","8500"
"1993-09-30T00:00:00.000","Different Stages, Inc.","9000"
"1993-09-30T00:00:00.000","Texas Circuit","9250"
"1993-09-30T00:00:00.000","Austin Symphonic Band","9400"
"1993-09-30T00:00:00.000","Center for Women & Their Work / Diverse Arts (also Harold McMillan)","10000"
"1993-09-30T00:00:00.000","Texas Folklife Resources","10193"
"1993-09-30T00:00:00.000","Center for Women & Their Work and Dance Umbrella Joint Project","10213"
"1993-09-30T00:00:00.000","Vortex Repertory Company","10915"
"1993-09-30T00:00:00.000","Austin Boys Choir","11000"
"1993-09-30T00:00:00.000","Austin League of Tejano Artists","12898"
"1993-09-30T00:00:00.000","Zilker Theatre Productions","16250"
"1993-09-30T00:00:00.000","Austin Contemporary Ballet/ Texas Youth Ballet","16500"
"1993-09-30T00:00:00.000","Austin Creative Alliance","16547"
"1993-09-30T00:00:00.000","Writer's League of Texas","16750"
"1993-09-30T00:00:00.000","Jumpstart Artist Group","18750"
"1993-09-30T00:00:00.000","Creative Opportunity Orchestra, Inc.","19174"
"1993-09-30T00:00:00.000","Robot Group","19232"
"1993-09-30T00:00:00.000","Academia (Aztlan) De Danza Y Folklore","23500"
"1993-09-30T00:00:00.000","Ballet East Dance Company","26000"
"1993-09-30T00:00:00.000","Dance Umbrella","29230"
"1993-09-30T00:00:00.000","Roy Lozano's Ballet Folklorico de Texas","30000"
"1993-09-30T00:00:00.000","La Peña","36000"
"1993-09-30T00:00:00.000","Capitol City Playhouse","36750"
"1993-09-30T00:00:00.000","Austin Federation of Musicians","37000"
"1993-09-30T00:00:00.000","Austin Theatre Alliance (formerly Paramount Theatre and State Theatre)","38000"
"1993-09-30T00:00:00.000","Sharir + Bustamante Danceworks","38700"
"1993-09-30T00:00:00.000","Austin Theatre Alliance (formerly State Theatre Company portion before merger)","39750"
"1993-09-30T00:00:00.000","Zachary Scott Theatre Center","39750"
"1993-09-30T00:00:00.000","Center For Women & Their Work","47500"
"1993-09-30T00:00:00.000","Austin Children's Museum DBA Thinkery","48700"
"1993-09-30T00:00:00.000","Ballet Austin, Inc.","55250"
"1993-09-30T00:00:00.000","Mexic-Arte Museum","60129"
"1993-09-30T00:00:00.000","Austin Lyric Opera dba Austin Opera","67000"
"1993-09-30T00:00:00.000","Austin Symphony Orchestra Society, Inc.","80001"
"1993-09-30T00:00:00.000","The Contemporary Austin Museum Inc","135000"
"1994-09-30T00:00:00.000","Austin Area Community Philharmonic","1500"
"1994-09-30T00:00:00.000","Children of Light Players","1500"
"1994-09-30T00:00:00.000","Cultural Warriors","1500"
"1994-09-30T00:00:00.000","Informe-Sida","1500"
"1994-09-30T00:00:00.000","Austin Vocal Arts Ensemble","1588"
"1994-09-30T00:00:00.000","Stephens, Phillip","1775"
"1994-09-30T00:00:00.000","Austin Poets International, Inc./ Austin International Poetry Festival","2000"
"1994-09-30T00:00:00.000","Austin Acoustic Music Festival","2050"
"1994-09-30T00:00:00.000","Film Society of Austin, Inc.","2100"
"1994-09-30T00:00:00.000","Borderlands Texas Poetry aka Texas Poetry Review (also Ramona Cearley)","2500"
"1994-09-30T00:00:00.000","A. Mozart Fest","2661"
"1994-09-30T00:00:00.000","Veintemillas, Carlos","2719"
"1994-09-30T00:00:00.000","Austin Children's Choir","3049"
"1994-09-30T00:00:00.000","New Texas Music Works","3082"
"1994-09-30T00:00:00.000","Texas Music Museum","3175"
"1994-09-30T00:00:00.000","Youth Ballet Theatre","3210"
"1994-09-30T00:00:00.000","Teatro Comunitario en Español","3416"
"1994-09-30T00:00:00.000","Turner, Jimmy","4050"
"1994-09-30T00:00:00.000","Performance Encounters","4185"
"1994-09-30T00:00:00.000","Ariel Dance Theatre","4396"
"1994-09-30T00:00:00.000","Bright, Susan","4400"
"1994-09-30T00:00:00.000","Austin Chamber Music Center, Inc.","4936"
"1994-09-30T00:00:00.000","Bravo, Maria","4960"
"1994-09-30T00:00:00.000","Red Salmon Arts","5000"
"1994-09-30T00:00:00.000","River City Pops","5098"
"1994-09-30T00:00:00.000","Chamber Soloists of Austin, Inc.","5152"
"1994-09-30T00:00:00.000","Second Youth","5200"
"1994-09-30T00:00:00.000","Austin Civic Orchestra Society","5229"
"1994-09-30T00:00:00.000","Mexic-Arte Museum/ Robert Rodriguez","5604"
"1994-09-30T00:00:00.000","Austin Shakespeare Festival","5608"
"1994-09-30T00:00:00.000","Pulido, Pio","6014"
"1994-09-30T00:00:00.000","Legends Project","6020"
"1994-09-30T00:00:00.000","Austix","6097"
"1994-09-30T00:00:00.000","Serie Project, Inc.","6433"
"1994-09-30T00:00:00.000","Johnson/Long Dance Company","6500"
"1994-09-30T00:00:00.000","Chorus Austin","6643"
"1994-09-30T00:00:00.000","First Stage Productions","6745"
"1994-09-30T00:00:00.000","Artists' Legal & Accounting Assistance of Austin","6865"
"1994-09-30T00:00:00.000","Outreach Productions","7150"
"1994-09-30T00:00:00.000","Austin Dance Ensemble","7218"
"1994-09-30T00:00:00.000","Austin Choral Union","9489"
"1994-09-30T00:00:00.000","Center for Women & Their Work / Diverse Arts (also Harold McMillan)","10000"
"1994-09-30T00:00:00.000","Austin Boys Choir","10416"
"1994-09-30T00:00:00.000","Center for Women & Their Work and Dance Umbrella Joint Project","10510"
"1994-09-30T00:00:00.000","Different Stages, Inc.","10861"
"1994-09-30T00:00:00.000","Austin Symphonic Band","10887"
"1994-09-30T00:00:00.000","Texas Circuit","11000"
"1994-09-30T00:00:00.000","Austin League of Tejano Artists","12898"
"1994-09-30T00:00:00.000","Visions in Rhythm aka Tapestry Dance Company","13093"
"1994-09-30T00:00:00.000","Vortex Repertory Company","13387"
"1994-09-30T00:00:00.000","Zilker Theatre Productions","16250"
"1994-09-30T00:00:00.000","Arthouse at the Jones Center (merged into AMOA during FY2012)","17360"
"1994-09-30T00:00:00.000","Austin Visual Arts Association","17360"
"1994-09-30T00:00:00.000","Jumpstart Artist Group","17750"
"1994-09-30T00:00:00.000","Austin Contemporary Ballet/ Texas Youth Ballet","18353"
"1994-09-30T00:00:00.000","Robot Group","18650"
"1994-09-30T00:00:00.000","Austin Creative Alliance","18995"
"1994-09-30T00:00:00.000","Creative Opportunity Orchestra, Inc.","21804"
"1994-09-30T00:00:00.000","Academia (Aztlan) De Danza Y Folklore","23500"
"1994-09-30T00:00:00.000","Writer's League of Texas","24000"
"1994-09-30T00:00:00.000","Texas Folklife Resources","24690"
"1994-09-30T00:00:00.000","Ballet East Dance Company","28500"
"1994-09-30T00:00:00.000","Roy Lozano's Ballet Folklorico de Texas","30000"
"1994-09-30T00:00:00.000","Dance Umbrella","32959"
"1994-09-30T00:00:00.000","Austin Federation of Musicians","36150"
"1994-09-30T00:00:00.000","Capitol City Playhouse","36750"
"1994-09-30T00:00:00.000","Austin Theatre Alliance (formerly Paramount Theatre and State Theatre)","39000"
"1994-09-30T00:00:00.000","La Peña","40000"
"1994-09-30T00:00:00.000","Austin Theatre Alliance (formerly State Theatre Company portion before merger)","43834"
"1994-09-30T00:00:00.000","Zachary Scott Theatre Center","44088"
"1994-09-30T00:00:00.000","Austin Children's Museum DBA Thinkery","48400"
"1994-09-30T00:00:00.000","Sharir + Bustamante Danceworks","49338"
"1994-09-30T00:00:00.000","Center For Women & Their Work","50000"
"1994-09-30T00:00:00.000","Ballet Austin, Inc.","55250"
"1994-09-30T00:00:00.000","Austin Lyric Opera dba Austin Opera","67000"
"1994-09-30T00:00:00.000","Mexic-Arte Museum","71629"
"1994-09-30T00:00:00.000","Austin Symphony Orchestra Society, Inc.","82001"
"1994-09-30T00:00:00.000","The Contemporary Austin Museum Inc","147000"
"1995-09-30T00:00:00.000","Remembrance Through the Performing Arts","1000"
"1995-09-30T00:00:00.000","Wax Track Gallery International","1000"
"1995-09-30T00:00:00.000","Gilbert & Sullivan Society of Austin, Texas, Inc.","1121"
"1995-09-30T00:00:00.000","Austin Area Community Philharmonic","1500"
"1995-09-30T00:00:00.000","Manosevitz, Carolyn","1500"
"1995-09-30T00:00:00.000","Austin Vocal Arts Ensemble","1715"
"1995-09-30T00:00:00.000","Austin Chamber Ensemble","1789"
"1995-09-30T00:00:00.000","Austin Poets International, Inc./ Austin International Poetry Festival","2000"
"1995-09-30T00:00:00.000","Film Society of Austin, Inc.","2000"
"1995-09-30T00:00:00.000","Green, Bryan","2050"
"1995-09-30T00:00:00.000","Oleson, Jill","2073"
"1995-09-30T00:00:00.000","Informe-Sida","2400"
"1995-09-30T00:00:00.000","Veintemillas, Carlos","2700"
"1995-09-30T00:00:00.000","Ramirez, Alex","2779"
"1995-09-30T00:00:00.000","Cultural Warriors","2882"
"1995-09-30T00:00:00.000","Austin Children's Choir","3034"
"1995-09-30T00:00:00.000","Public Domain","3085"
"1995-09-30T00:00:00.000","One World/ Nada Stearns","3200"
"1995-09-30T00:00:00.000","Meyer, Delia","3206"
"1995-09-30T00:00:00.000","Kathy Dunn Hamrick Dance Co.","3250"
"1995-09-30T00:00:00.000","Mexic-Arte Museum/ Johnny Degollado (AKA Austin Conjunto Festival)","3340"
"1995-09-30T00:00:00.000","Legends Project","3400"
"1995-09-30T00:00:00.000","Teatro Comunitario en Español","3415"
"1995-09-30T00:00:00.000","Texas Music Museum","3510"
"1995-09-30T00:00:00.000","Austin Acoustic Music Festival","3514"
"1995-09-30T00:00:00.000","Sylviana y Estampa Española","3575"
"1995-09-30T00:00:00.000","Borderlands Texas Poetry aka Texas Poetry Review (also Ramona Cearley)","3600"
"1995-09-30T00:00:00.000","A. Mozart Fest","3618"
"1995-09-30T00:00:00.000","Hyde Park Theatre/ MS/Nerve Dance Co.","3700"
"1995-09-30T00:00:00.000","One World","3780"
"1995-09-30T00:00:00.000","Austin Jazz Workshop, Inc.","3980"
"1995-09-30T00:00:00.000","Centro de Arte y Cultura Nahualli","3987"
"1995-09-30T00:00:00.000","Center for Women & Their Work / Michele Owens-Pearce","4000"
"1995-09-30T00:00:00.000","Children of Light Players","4000"
"1995-09-30T00:00:00.000","Mitchell, Mark","4000"
"1995-09-30T00:00:00.000","Performance Encounters","4175"
"1995-09-30T00:00:00.000","Austin Jazz Band","4261"
"1995-09-30T00:00:00.000","Ariel Dance Theatre","4384"
"1995-09-30T00:00:00.000","Bright, Susan","4400"
"1995-09-30T00:00:00.000","Turner, Jimmy","4427"
"1995-09-30T00:00:00.000","Chicano/Latino Film Forum","4500"
"1995-09-30T00:00:00.000","Sankofa (Foscette), Nailah","4595"
"1995-09-30T00:00:00.000","Day Without Art","4700"
"1995-09-30T00:00:00.000","Austix","5000"
"1995-09-30T00:00:00.000","Capital City Men's Chorus","5000"
"1995-09-30T00:00:00.000","Chamber Soloists of Austin, Inc.","5134"
"1995-09-30T00:00:00.000","Austin Civic Orchestra Society","5227"
"1995-09-30T00:00:00.000","Littleton, Sue","5325"
"1995-09-30T00:00:00.000","River City Pops","5375"
"1995-09-30T00:00:00.000","Mexic-Arte Museum/ Robert Rodriguez","5498"
"1995-09-30T00:00:00.000","Austin Chamber Music Center, Inc.","5643"
"1995-09-30T00:00:00.000","Austin Area Art from the Streets","5648"
"1995-09-30T00:00:00.000","Artists' Coalition of Austin","5743"
"1995-09-30T00:00:00.000","Austin Community Access Center","6000"
"1995-09-30T00:00:00.000","Red Salmon Arts","6000"
"1995-09-30T00:00:00.000","Great Promise for American Indians, Inc.","6007"
"1995-09-30T00:00:00.000","New Texas Music Works","6375"
"1995-09-30T00:00:00.000","Chorus Austin","6600"
"1995-09-30T00:00:00.000","Teatro Humanidad Cansada","6700"
"1995-09-30T00:00:00.000","First Stage Productions","6741"
"1995-09-30T00:00:00.000","Second Youth","6818"
"1995-09-30T00:00:00.000","Outreach Productions","7136"
"1995-09-30T00:00:00.000","Austin Dance Ensemble","7218"
"1995-09-30T00:00:00.000","Believe in Me Project, Inc.","7500"
"1995-09-30T00:00:00.000","Bravo, Maria","8335"
"1995-09-30T00:00:00.000","Austin Shakespeare Festival","8588"
"1995-09-30T00:00:00.000","Austin Choral Union","9478"
"1995-09-30T00:00:00.000","Pulido, Pio","9808"
"1995-09-30T00:00:00.000","Center for Women & Their Work / Diverse Arts (also Harold McMillan)","10000"
"1995-09-30T00:00:00.000","Serie Project, Inc.","10095"
"1995-09-30T00:00:00.000","Austin Boys Choir","10402"
"1995-09-30T00:00:00.000","Center for Women & Their Work and Dance Umbrella Joint Project","10803"
"1995-09-30T00:00:00.000","Different Stages, Inc.","10854"
"1995-09-30T00:00:00.000","Austin Symphonic Band","10875"
"1995-09-30T00:00:00.000","Texas Circuit","11000"
