total_awarded_usd,recipient_name,recipient_name_raw,address,city,state,zip,entity_type,awarded_date
9300000,"Dallas Summer Musicals, Inc.","Dallas Summer Musicals, Inc. - SVOG",909 1st Avenue,Dallas,TX,75210,Live performing arts organization operator,2021-07-19
9271606.05,CINESTARZ ENTERTAINMENT LLC,CINESTARZ ENTERTAINMENT LLC - SVOG,1250 WONDER WORLD DRIVE,SAN MARCOS,TX,78666,Motion picture theater operator,2021-08-24
9203317.2,Alamo Lakeline LLC,Alamo Lakeline LLC - SVOG,"14028 North U.S. Highway 183, Building F",Austin,TX,78717,Motion picture theater operator,2021-07-16
9163827.45,USA Cinema Investments Holding Inc,USA Cinema Investments Holding Inc - SVOG,14951 N Dallas Pkwy Suite 300,Dallas,TX,75254,Motion picture theater operator,2021-08-25
9119831.18,"CINERGY CINEMAS MIDLAND, LP","CINERGY CINEMAS MIDLAND, LP - SVOG",5720 LBJ Freeway,Dallas,TX,75240,Motion picture theater operator,2021-08-03
8249694.85,Double Feature Partners LP,Double Feature Partners LP - SVOG,2603 Berenson Lane,Austin,TX,78746,Motion picture theater operator,2021-06-30
8195133.71,"GIBSONTON THEATER, LLC","GIBSONTON THEATER, LLC - SVOG",12770 Coit Rd Ste 970,Dallas,TX,75251,Motion picture theater operator,2021-08-18
8000000,"Manned Space Flight Education Foundation, Inc.","Manned Space Flight Education Foundation, Inc. - SVOG",1601 NASA Parkway,Houston,TX,77058,Museum Operator,2021-06-29
8000000,SXSW LLC,SXSW LLC - SVOG,1400 Lavaca Street,Austin,TX,78701,Live venue operator or promoter,2021-07-23
7980165.4,"Santikos Enterprises, LLC","Santikos Enterprises, LLC - SVOG",303 Pearl Parkway,San Antonio,TX,78215,Motion picture theater operator,2021-09-07
7736376.15,BuenaVista Music LLC,BuenaVista Music LLC - SVOG,1403 Rio Grande St,Austin,TX,78701,Live venue operator or promoter,2021-08-18
7720075.83,Bexar County Performing Arts Center Foundation,Bexar County Performing Arts Center Foundation - SVOG,115 Auditorium Cr.,San Antonio,TX,78205,Live venue operator or promoter,2021-07-13
7523373.75,"City of Hidalgo, Texas Municipal Facilities Corporation","City of Hidalgo, Texas Municipal Facilities Corporation - SVOG",2600 N 10th St,Hidalgo,TX,78557,Live venue operator or promoter,2022-04-25
7521384.63,Houston Symphony Society,Houston Symphony Society - SVOG,615 Louisiana St. #102,Houston,TX,77002,Live performing arts organization operator,2021-07-20
7437578.63,"Alamo Mueller, LLC","Alamo Mueller, LLC - SVOG","1911 Aldrich, Ste 120",Austin,TX,78723,Motion picture theater operator,2021-07-20
7423818.75,"Alamo Drafthouse Raleigh, LLC","Alamo Drafthouse Raleigh, LLC - SVOG",2116 NEW BERN AVE,Raleigh,TX,78751,Motion picture theater operator,2021-07-20
7323378.15,FLIX BREWHOUSE IOWA LLC,FLIX BREWHOUSE IOWA LLC - SVOG,2000 S. Interstate Hwy. 35 Ste Q11,Round Rock,TX,78681,Motion picture theater operator,2021-07-30
7275379.93,"Dallas Center For the Performing Arts Foundation, Inc.","Dallas Center For the Performing Arts Foundation, Inc. - SVOG",700 N. Pearl St Suit N1800,Dallas,TX,75201,Live venue operator or promoter,2021-07-15
7273543.87,"Premiere Partnership Holdings, LLC","Premiere Partnership Holdings, LLC - SVOG",109 W 4th St,Big Spring,TX,79720,Motion picture theater operator,2021-12-27
7188857.79,"White Oak Entertainment, LLC","White Oak Entertainment, LLC - SVOG",2915 N Main St,Houston,TX,77009,Live venue operator or promoter,2021-07-16
6995141.1,Flix Brewhouse Indiana LLC,Flix Brewhouse Indiana LLC - SVOG,2000 S. Interstate 35 Suite Q11,Round Rock,TX,78726,Motion picture theater operator,2021-08-04
6946739.36,Flix Brewhouse LLC,Flix Brewhouse LLC - SVOG,2000 South IH 35 STE Q-11,Round Rock,TX,78681,Motion picture theater operator,2021-08-01
6803572.05,"CINERGY ENTERTAINMENT AMARILLO, INC.","CINERGY ENTERTAINMENT AMARILLO, INC. - SVOG",5720 LBJ Freeway Suite 625,Dallas,TX,75240,Motion picture theater operator,2021-08-03
6637496.4,Dallas Zoological Society,Dallas Zoological Society - SVOG,650 South R.L. Thornton Freeway,Dallas,TX,75203,Museum Operator,2021-06-30
6554852.15,Austin Theatre Alliance,Austin Theatre Alliance - SVOG,713 Congress Avenue,Austin,TX,78701,Live venue operator or promoter,2021-07-19
6553023.77,Texas State Aquarium Association,Texas State Aquarium Association - SVOG,2710 N. Shoreline Blvd.,Corpus Christi,TX,78402,Museum Operator,2021-07-08
6486531.08,Theatre Under the Stars Inc.,Theatre Under the Stars Inc. - SVOG,800 Bagby St STE 200,Houston,TX,77002,Live performing arts organization operator,2021-07-03
6237551.28,Night Culture Inc.,Night Culture Inc. - SVOG,6400 Richmond Ave.,Houston,TX,77057,Live venue operator or promoter,2021-07-14
6147999,"Museum of Fine Arts, Houston","Museum of Fine Arts, Houston - SVOG",P.O. Box 6826,Houston,TX,77265,Museum Operator,2021-07-02
6141856.05,"Viper Arena, LLC","Viper Arena, LLC - SVOG",4900 S. I69C,Edinburg,TX,78539,Live venue operator or promoter,2021-10-30
5970370.95,Cinco Pelicluas LLC,Cinco Pelicluas LLC - SVOG,6770 Abrams Road,Dallas,TX,75231,Motion picture theater operator,2021-07-01
5957033.63,Dos Peliculas LLC,Dos Peliculas LLC - SVOG,1005 South Botham Jean BVLD (previously named South Lamar),Dallas,TX,75215,Motion picture theater operator,2021-07-01
5925110.85,"Dallas Symphony Association, Inc.","Dallas Symphony Association, Inc. - SVOG",2301 Flora Street,Dallas,TX,75201,Live performing arts organization operator,2021-07-07
5884573.73,SCG-WR LLC,SCG-WR LLC - SVOG,8920 Fry Road,Cypress,TX,77433,Motion picture theater operator,2021-08-20
5797273.3,"Film Alley 5S, Ltd.","Film Alley 5S, Ltd. - SVOG",335 Cochran Road,Weatherford,TX,76085,Motion picture theater operator,2021-07-12
5595874.88,SCGM Inc.,SCGM Inc. - SVOG,4811 Highway 6,Missouri City,TX,77459,Motion picture theater operator,2021-08-20
5487895.3,Reel Dinner Partners- Corpus Christi LLC,Reel Dinner Partners- Corpus Christi LLC - SVOG,7601 S STAPLES ST,CORPUS CHRISTI,TX,78413,Motion picture theater operator,2021-07-13
5466122.33,"LOOK Cinemas IV, LLC","LOOK Cinemas IV, LLC - SVOG",9301 Meadowbrook Dr.,Dallas,TX,75220,Motion picture theater operator,2021-06-29
