total_awarded_usd,recipient_name,recipient_name_raw,address,city,state,zip,entity_type,awarded_date
88907.82,Capital City Mens Chorus dba Austin Gay Mens Chorus,Capital City Mens Chorus dba Austin Gay Mens Chorus - SVOG,2418 Spring Ln POB 50082,Austin,TX,78703,Live performing arts organization operator,2021-07-28
78165.68,Indigenous Cultures Institute,Indigenous Cultures Institute - SVOG,600 Boulder Bluff,San Marcos,TX,78666,Live performing arts organization operator,2021-06-27
76794,"Block89, LLC","Block89, LLC - SVOG",711 Red River St.,Austin,TX,78701,Live venue operator or promoter,2021-07-12
75897.05,Davis McLarty Agency,Davis McLarty Agency - SVOG,P.O. Box 40727,Austin,TX,78704,Talent representative,2021-07-08
69225,"The Wimberley Players, Inc.","The Wimberley Players, Inc. - SVOG",450 Old Kyle RD,Wimberley,TX,78676,Live performing arts organization operator,2021-07-11
67921,Austin Curling Center LLC,Austin Curling Center LLC - SVOG,6218 Brodie Lane,Austin,TX,78745,Live venue operator or promoter,2021-07-23
67500,"The McMahon Group, Inc.","The McMahon Group, Inc. - SVOG",5505 Patagonia Pass,Be Cave,TX,78738,Live venue operator or promoter,2021-07-24
51745.5,Indian Classical Music Circle of Austin,Indian Classical Music Circle of Austin - SVOG,PO Box 203454,Austin,TX,78720,Live performing arts organization operator,2021-09-22
49626.18,"Galvan Productions, LLC","Galvan Productions, LLC - SVOG",823 Congress Ave Ste 150-484,Austin,TX,78701,Live venue operator or promoter,2021-07-27
45977.73,"Austin Shakespeare Festival Company, Inc.","Austin Shakespeare Festival Company, Inc. - SVOG","81 San Marcos St, C2",Austin,TX,78702,Live performing arts organization operator,2021-07-11
44633.02,Penfold Theatre Company,Penfold Theatre Company - SVOG,PO Box 81044,Austin,TX,78708,Theatrical producer,2021-07-03
42456.26,Hot Rhythm Foundation,Hot Rhythm Foundation - SVOG,2210 Waterway Bnd,Austin,TX,78728,Live performing arts organization operator,2021-08-10
42440.34,Sam Bass Theatre Association,Sam Bass Theatre Association - SVOG,PO Box 767,Round Rock,TX,78680,Live performing arts organization operator,2021-07-21
41943.97,No Door Agency LLC,No Door Agency LLC - SVOG,804 Rutherford Place APT B,Austin,TX,78704,Talent representative,2021-10-21
39518.18,King of Queens Entertainment,King of Queens Entertainment - SVOG,1000 E 5th st 439,Austin,TX,78702,Talent representative,2021-08-03
35571.65,Access ATX LLC dba Twisted Texas Tour,Access ATX LLC dba Twisted Texas Tour - SVOG,7421 Burnet Road Unit 530,Austin,TX,78757,Live venue operator or promoter,2021-06-19
35214,RAGNARS ON THE COMPOUND LLC,RAGNARS ON THE COMPOUND LLC - SVOG,6900 RANCH ROAD 12 STE C,SAN MARCOS,TX,78666,Live venue operator or promoter,2021-06-18
28446.2,NMRT LLC,NMRT LLC - SVOG,210 Peach Street,Buda,TX,78610,Talent representative,2021-06-18
23053.5,Indras Awarehouse,Indras Awarehouse - SVOG,7904 fm 969,austin,TX,78724,Live performing arts organization operator,2021-07-19
20127.18,Georgetown Art Works,Georgetown Art Works - SVOG,816 South Main Street,Georgetown,TX,78626,Museum Operator,2021-07-12
19998.55,Line Upon Line Percussion,Line Upon Line Percussion - SVOG,PO Box 49890,Austin,TX,78765,Live performing arts organization operator,2021-09-23
17515.13,Other Worlds Film Fest,Other Worlds Film Fest - SVOG,6700 Middle Fiskville St Suite 304,Austin,TX,78752,Live venue operator or promoter,2021-08-20
16200,Texas Comedies,Texas Comedies - SVOG,2603 Addison Ave,Austin,TX,78757,Live performing arts organization operator,2021-08-16
13707.81,NEW SCHOOL OF MUSIC INC,NEW SCHOOL OF MUSIC INC - SVOG,308-B CONGRESS AVE,Austin,TX,78701,Live performing arts organization operator,2021-09-03
10843.88,EXPLODED DRAWING,EXPLODED DRAWING - SVOG,6709 Tulane Dr.,Austin,TX,78723,Live performing arts organization operator,2021-07-13
6401.25,SECESSION ENTERTAINMENT,SECESSION ENTERTAINMENT - SVOG,2724 Garnet Ridge Dr.,Leander,TX,78641,Live venue operator or promoter,2021-07-12
1700,Current Events LLC,Current Events LLC - SVOG,19501 Single Peak Cove,Spicewood,TX,78669,Live venue operator or promoter,2021-07-14
