fiscal_year,incl_lineitems_percapita,incl_lineitems_rank,excl_lineitems_percapita,excl_lineitems_rank,total_state_funds_percapita,total_state_funds_rank,total_agency_revenue_percapita,total_agency_revenue_rank
2025,0.46,46,0.46,43,0.46,45,0.51,48
2026,0.58,39,0.58,35,0.59,38,0.65,44
