metric,fy2025,fy2026,pct_change,source
NASAA-reported legislative appropriation (incl. line items),14319358,18288573,27.7%,"NASAA State Arts Agency Revenues FY2026 report, Table 1"
NASAA-reported total agency revenue,16115358,20205111,25.4%,"NASAA State Arts Agency Revenues FY2026 report, Table 5"
TCA-reported General Revenue appropriation (enacted, excl. carryover),14320385,18289600,27.7%,"TCA FY25/FY26 Budget Summary PDFs"
TCA-reported total agency budget (incl. carryover/federal/license plate),18060060,20054138,11.0%,"TCA FY25/FY26 Budget Summary PDFs"
2026-27 biennium total state funding (GR),NA,~19900000 per year (~39.8M biennium),+5.7M vs prior biennium request per KERA,"KERA News, 2025-05-30, https://www.keranews.org/arts-culture/2025-05-30/texas-commission-on-the-arts-budget-increase"
