industry,year,real_value_added_millions_chained_2017usd
Other Goods Manufacturing,2000,2141.7562351
Other Goods Manufacturing,2001,2066.9639342
Other Goods Manufacturing,2002,2119.2231466
Other Goods Manufacturing,2003,2326.6373695
Other Goods Manufacturing,2004,2522.4753524
Other Goods Manufacturing,2005,2499.7466306
Other Goods Manufacturing,2006,2711.0606452
Other Goods Manufacturing,2007,3143.3933542
Other Goods Manufacturing,2008,2719.9293436
Other Goods Manufacturing,2009,2214.4410896
Other Goods Manufacturing,2010,2127.8963395
Other Goods Manufacturing,2011,2182.9072607
Other Goods Manufacturing,2012,2313.3516771
Other Goods Manufacturing,2013,2399.7209253
Other Goods Manufacturing,2014,2644.5428003
Other Goods Manufacturing,2015,2819.2187058
Other Goods Manufacturing,2016,2510.6039264
Other Goods Manufacturing,2017,2845.2190379
Other Goods Manufacturing,2018,2891.3193694
Other Goods Manufacturing,2019,3188.6046568
Other Goods Manufacturing,2020,3357.5336581
Other Goods Manufacturing,2021,3842.0601754
Other Goods Manufacturing,2022,3818.4434607
Other Goods Manufacturing,2023,3426.1892975
Construction,1998,23948.180981
Construction,1999,26461.21229
Construction,2000,28209.831829
Construction,2001,27928.653492
Construction,2002,26163.687039
Construction,2003,24318.029551
Construction,2004,26346.419467
Construction,2005,24199.793278
Construction,2006,23617.327974
Construction,2007,19541.140325
Construction,2008,16108.649847
Construction,2009,13740.653523
Construction,2010,17130.219043
Construction,2011,14970.297092
Construction,2012,11749.954456
Construction,2013,11909.26555
Construction,2014,12334.863273
Construction,2015,13305.82311
Construction,2016,14758.386278
Construction,2017,15664.665398
Construction,2018,16537.130227
Construction,2019,16007.943226
Construction,2020,13959.92555
Construction,2021,14281.823845
Construction,2022,13821.932336
Construction,2023,12981.735472
Wholesale and Transportation Industries,1998,24761.530854
Wholesale and Transportation Industries,1999,27288.614666
Wholesale and Transportation Industries,2000,29986.287877
Wholesale and Transportation Industries,2001,29997.51934
Wholesale and Transportation Industries,2002,31590.458813
Wholesale and Transportation Industries,2003,31141.262788
Wholesale and Transportation Industries,2004,32399.999066
Wholesale and Transportation Industries,2005,32392.954184
Wholesale and Transportation Industries,2006,32742.253059
Wholesale and Transportation Industries,2007,34711.364793
Wholesale and Transportation Industries,2008,36206.427929
Wholesale and Transportation Industries,2009,27262.103594
Wholesale and Transportation Industries,2010,33550.476949
Wholesale and Transportation Industries,2011,35794.134771
Wholesale and Transportation Industries,2012,34968.051339
Wholesale and Transportation Industries,2013,35333.549835
Wholesale and Transportation Industries,2014,35798.349033
Wholesale and Transportation Industries,2015,36349.460895
Wholesale and Transportation Industries,2016,36715.138413
Wholesale and Transportation Industries,2017,42189.717751
Wholesale and Transportation Industries,2018,42048.467384
Wholesale and Transportation Industries,2019,41792.765933
Wholesale and Transportation Industries,2020,43431.605135
Wholesale and Transportation Industries,2021,44162.660876
Wholesale and Transportation Industries,2022,42366.061208
Wholesale and Transportation Industries,2023,40822.851351
Retail Industries,1998,33590.132505
Retail Industries,1999,34478.900767
Retail Industries,2000,35503.310702
Retail Industries,2001,36488.243161
Retail Industries,2002,37066.445093
Retail Industries,2003,37935.796369
Retail Industries,2004,38851.712564
Retail Industries,2005,39078.346043
Retail Industries,2006,39828.928317
Retail Industries,2007,39106.484809
Retail Industries,2008,37644.595158
Retail Industries,2009,35437.696926
Retail Industries,2010,36143.05669
Retail Industries,2011,36473.610867
Retail Industries,2012,36692.869036
Retail Industries,2013,37911.207748
Retail Industries,2014,38831.779104
Retail Industries,2015,40474.383365
Retail Industries,2016,42416.567549
Retail Industries,2017,42173.967004
Retail Industries,2018,44243.638827
Retail Industries,2019,45367.475678
Retail Industries,2020,45957.994818
Retail Industries,2021,48454.998678
Retail Industries,2022,43001.348144
Retail Industries,2023,49081.588318
All Other Industries,1998,18658.831387
All Other Industries,1999,21111.824827
All Other Industries,2000,24327.42145
All Other Industries,2001,24362.901205
All Other Industries,2002,24676.869925
All Other Industries,2003,23933.335945
All Other Industries,2004,24009.934678
All Other Industries,2005,24544.561308
All Other Industries,2006,24542.694589
All Other Industries,2007,25065.775991
All Other Industries,2008,24288.595997
All Other Industries,2009,23651.215619
All Other Industries,2010,22096.802607
All Other Industries,2011,21727.253732
All Other Industries,2012,20411.547522
All Other Industries,2013,19739.449964
All Other Industries,2014,20303.396088
All Other Industries,2015,21236.836568
All Other Industries,2016,21550.875946
All Other Industries,2017,21093.235399
All Other Industries,2018,21429.816499
All Other Industries,2019,22071.974977
All Other Industries,2020,21388.146153
All Other Industries,2021,22859.389146
All Other Industries,2022,24731.196178
All Other Industries,2023,25257.075033
