date_d,idx_austin,idx_dallas,idx_houston,idx_nashville,idx_sanantonio
31jan2015,99.99999999999999,99.99999999999997,99.99999999999999,100,99.99999999999997
28feb2015,100.6801953431465,100.3324148732689,100.1949156061038,100.1854090687696,100.2872582343635
31mar2015,100.8677079015664,100.6949296808148,100.5573394623607,100.9471218931674,100.5950533027383
30apr2015,100.9269741985304,101.2714443602034,100.7811296062523,101.3106142260079,100.9112269313137
31may2015,101.0990860701533,101.6742889967955,100.90862471365,101.9134660144067,101.3471929073381
30jun2015,101.5460042575094,102.1352013287522,101.091732999255,102.3425061449726,101.6929957460084
31jul2015,102.0829901154236,102.5814379580132,101.2859699089988,102.9095298360483,101.88831215426
31aug2015,102.7927838088573,103.003370081187,101.6131814011646,103.2528174713821,101.9063096760317
30sep2015,103.3006684335533,103.4708263702189,101.7229305949133,103.6239559793891,102.1716151465177
31oct2015,103.8595672118682,103.8513966017922,101.8360333471468,104.2380848082567,102.8413031656798
30nov2015,104.2168949610523,104.3330976223433,101.9468105662643,104.6315851749207,103.3011059114369
31dec2015,104.6669748129671,104.8230211192888,102.0221558430567,105.2885688933732,103.6923004191269
31jan2016,103.5700660601352,103.8767903525212,100.9242063024889,104.4824519089242,102.4739999393052
29feb2016,103.4624065018146,104.3221266935433,100.9048875995062,105.1025760025526,102.6985929329043
31mar2016,103.2802738244916,104.6499633224367,101.0591612418962,105.3406723540687,102.980527343238
30apr2016,103.5265604055143,105.1371766459819,100.9622917455118,105.4992310042457,103.2967833996221
31may2016,103.8840117397797,105.450363611024,100.8275733616512,105.912580275525,103.559846682683
30jun2016,104.2843698018026,105.8432053232455,100.7249575367776,106.5879652488959,103.7713119355705
31jul2016,104.5297039909277,106.1620931131349,100.7784979421866,106.8887679345624,104.0191211537201
31aug2016,104.724306129178,106.6126822770518,100.8774570125671,107.4087158647036,104.4627139837841
30sep2016,104.9350498373216,107.0270840832441,100.6758919737941,107.7235763276024,104.904457836283
