venue_key,venue_name,district,tier,real2019,real2025,pctchg
nomad,Nomad Bar,Northeast/Corona,core_live_music,1204521.781295868,278923,-76.84367320448747
haymaker,Haymaker,Manor Rd,live_music_adjacent,2546865.279060618,1583832,-37.81249393041401
coralsnake,The Coral Snake / Steely's Lodge,East Austin,core_live_music,1364841.247923246,345923,-74.65470797234775
barracuda,Barracuda,East Austin,core_live_music,1044318.243480778,0,-100
stubbs,Stubb's Bar-B-Q,Red River Cultural District,core_live_music,4043125.696765431,2742553,-32.16750589292613
spiderhouse,Spider House Ballroom,UT/North Campus,core_live_music,1582633.683337956,192155,-87.85852961282089
shadygrove,Shady Grove,South Central,live_music_adjacent,1465275.922429397,0,-100
clivebar,Clive Bar,Rainey Street,live_music_adjacent,2237090.891670461,653233,-70.79989005219973
cosmic,Cosmic Coffee & Beer Garden,South Austin,live_music_adjacent,3187576.10246655,1583263,-50.33018980237463
moontower,Moon Tower Saloon,South Austin,live_music_adjacent,3280327.972967079,1668835,-49.12597112993774
summit,Summit (120 W 5th),Downtown,core_live_music,1672944.748301519,0,-100
maggiemaes,Maggie Mae's,Downtown/6th,live_music_adjacent,2582659.559950181,271192,-89.49950646978687
blindpig,Blind Pig Pub,Downtown/6th,live_music_adjacent,5145428.507922549,2411065,-53.14160917234354
containerbar,Container Bar,Rainey Street,live_music_adjacent,5918230.132163844,0,-100
