year,pc_travis,pc_harris,pc_dallas,pc_bexar
2020,56.695655929636,19.46532152106226,24.72420352060401,20.08442603592572
2021,60.29714715207882,21.40170280451612,27.76928328066745,23.04784914636319
2022,64.61155223415849,23.34037675185371,28.87244439462552,25.69637515545871
2023,64.25878496509955,22.6018261589333,28.63054539084619,25.10466619545871
