yr,b,se,lo,hi
2018,.0241577965585657,.1661837419364113,-.3015623376368005,.3498779307539319
2019,-.1511952917986178,.1670352983438134,-.478584476552492,.1761938929552564
2020,-.0903108134321691,.2160389085273469,-.513747074145769,.3331254472814308
2021,-.1257737815988548,.1556643893129908,-.4308759846523167,.1793284214546071
2022,-.112216227799368,.0820818026985882,-.2730965610886009,.0486641054898649
2023,0,0,0,0
2024,-.0008939900453637,.0547562032451494,-.1082161484058565,.1064281683151291
2025,.0325970408828653,.0887793133262924,-.1414104132366678,.2066044950023984
