state,share_pct,rank8
Louisiana,2.099999971687794,1
Texas,2.500000037252903,2
Florida,3.200000151991844,3
Georgia,3.799999877810478,4
Tennessee,3.999999910593033,5
California,7.500000298023224,6
New York,7.599999755620956,7
Washington,9.799999743700027,8
