srcid,srclab,nresp,cat,share,x0,x1,allmost,anyinc,ypos
1,"Live performance, local",1119,None,7.596067917783736,92.40393208221626,100,50.75960679177837,92.40393208221627,7
1,"Live performance, local",1119,Very little,17.42627345844504,74.97765862377122,92.40393208221626,50.75960679177837,92.40393208221627,7
1,"Live performance, local",1119,Some,24.21805183199285,50.75960679177837,74.97765862377122,50.75960679177837,92.40393208221627,7
1,"Live performance, local",1119,Most,37.98033958891867,12.77926720285969,50.75960679177837,50.75960679177837,92.40393208221627,7
1,"Live performance, local",1119,All,12.7792672028597,0,12.7792672028597,50.75960679177837,92.40393208221627,7
2,"Live performance, touring",948,None,24.68354430379747,75.31645569620252,100,12.0253164556962,75.31645569620252,5
2,"Live performance, touring",948,Very little,26.58227848101265,48.73417721518987,75.31645569620252,12.0253164556962,75.31645569620252,5
2,"Live performance, touring",948,Some,36.70886075949367,12.0253164556962,48.73417721518987,12.0253164556962,75.31645569620252,5
2,"Live performance, touring",948,Most,10.75949367088608,1.265822784810126,12.0253164556962,12.0253164556962,75.31645569620252,5
2,"Live performance, touring",948,All,1.265822784810127,0,1.265822784810127,12.0253164556962,75.31645569620252,5
3,Recordings and royalties,928,None,29.3103448275862,70.68965517241379,100,5.603448275862069,70.68965517241379,3
3,Recordings and royalties,928,Very little,41.91810344827586,28.77155172413793,70.68965517241379,5.603448275862069,70.68965517241379,3
3,Recordings and royalties,928,Some,23.16810344827586,5.603448275862068,28.77155172413793,5.603448275862069,70.68965517241379,3
3,Recordings and royalties,928,Most,4.418103448275862,1.185344827586207,5.603448275862069,5.603448275862069,70.68965517241379,3
3,Recordings and royalties,928,All,1.185344827586207,0,1.185344827586207,5.603448275862069,70.68965517241379,3
4,Studio and session work,929,None,42.19590958019376,57.80409041980624,100,7.857911733046286,57.80409041980625,4
4,Studio and session work,929,Very little,25.40365984930033,32.40043057050592,57.80409041980624,7.857911733046286,57.80409041980625,4
4,Studio and session work,929,Some,24.54251883745964,7.857911733046283,32.40043057050592,7.857911733046286,57.80409041980625,4
4,Studio and session work,929,Most,6.781485468245426,1.076426264800861,7.857911733046286,7.857911733046286,57.80409041980625,4
4,Studio and session work,929,All,1.076426264800861,0,1.076426264800861,7.857911733046286,57.80409041980625,4
5,Merchandise,839,None,43.86174016686532,56.13825983313468,100,3.933253873659118,56.13825983313469,2
5,Merchandise,839,Very little,28.72467222884386,27.41358760429082,56.13825983313468,3.933253873659118,56.13825983313469,2
5,Merchandise,839,Some,23.48033373063171,3.933253873659119,27.41358760429083,3.933253873659118,56.13825983313469,2
5,Merchandise,839,Most,3.3373063170441,.5959475566150179,3.933253873659118,3.933253873659118,56.13825983313469,2
5,Merchandise,839,All,.5959475566150179,0,.5959475566150179,3.933253873659118,56.13825983313469,2
6,Songwriting and mechanicals,859,None,49.0104772991851,50.9895227008149,100,3.841676367869616,50.9895227008149,1
6,Songwriting and mechanicals,859,Very little,31.43189755529686,19.55762514551805,50.9895227008149,3.841676367869616,50.9895227008149,1
6,Songwriting and mechanicals,859,Some,15.71594877764843,3.841676367869617,19.55762514551805,3.841676367869616,50.9895227008149,1
6,Songwriting and mechanicals,859,Most,3.143189755529686,.6984866123399303,3.841676367869616,3.841676367869616,50.9895227008149,1
6,Songwriting and mechanicals,859,All,.6984866123399301,0,.6984866123399301,3.841676367869616,50.9895227008149,1
7,Teaching,903,None,59.02547065337763,40.97452934662237,100,13.62126245847176,40.97452934662237,6
7,Teaching,903,Very little,13.84274640088594,27.13178294573643,40.97452934662237,13.62126245847176,40.97452934662237,6
7,Teaching,903,Some,13.51052048726467,13.62126245847176,27.13178294573643,13.62126245847176,40.97452934662237,6
7,Teaching,903,Most,11.73864894795127,1.882613510520487,13.62126245847176,13.62126245847176,40.97452934662237,6
7,Teaching,903,All,1.882613510520487,0,1.882613510520487,13.62126245847176,40.97452934662237,6
