catid,catlab,n,mean_nom,med_nom,p75_nom,mean_real,med_real,p75_real
1,New recordings,728,3558.311813186813,1500,5000,3916.968987086108,1651.191292133312,5503.970973777706
5,Rehearsal or work space,646,1395.800309597523,250,1000,1536.488877842941,275.1985486888853,1100.794194755541
6,Gear and rentals,737,1382.341926729986,500,1500,1521.673968111559,550.3970973777706,1651.191292133312
2,Publicity and promotion,690,1367.771014492754,300,1000,1505.63439250852,330.2382584266623,1100.794194755541
7,Merchandise,625,935.0832,300,1000,1029.334158173435,330.2382584266623,1100.794194755541
4,Supplies,742,871.677897574124,500,1000,959.5379693463109,550.3970973777706,1100.794194755541
8,Accounting and legal,611,608.6252045826513,0,500,669.9710919864862,0,550.3970973777706
3,Web and social media,709,479.2581100141044,200,500,527.5645452930386,220.1588389511082,550.3970973777706
