grp,n_rent,n_own,w_rent,w_own,r30,r30m,r50,r50m,o30,o30m,o50,o50m,medrent
All worker households,,,3141826,4949326,.4443953929975753,.0036063939503056,.1894306050048602,.0026537802609103,.1808442200008648,.0019646283772999,.0645241392464348,.001173192889936,1502.752298840176
All worker households,,,3141826,4949326,.4443953929975753,.0036063939503056,.1894306050048602,.0026537802609103,.1808442200008648,.0019646283772999,.0645241392464348,.001173192889936,1502.752298840176
Musician households,160,282,4552,6585,.4586994727592267,.0886228467016333,.2095782073813708,.0638364879288785,.266211085801063,.0578274796926882,.1088838268792711,.0445281364223041,1735.846640353049
Musician households,160,282,4552,6585,.4586994727592267,.0886228467016333,.2095782073813708,.0638364879288785,.266211085801063,.0578274796926882,.1088838268792711,.0445281364223041,1735.846640353049
