year,revenue_real_lmf,expense_real_lmf,net_real_lmf,cum_net_real_lmf,revenue_actual_lmf,expense_actual_lmf
2021,1765819.308657762,5093.198550760741,1760726.110107002,1760726.110107002,1485269,4284
2022,4072401.333028462,55039.70973777706,4017361.623290685,5778087.733397687,3699512,50000
2023,4932290.72558971,4323223.095289134,609067.6303005759,6387155.363698263,4665105,4089031
2024,4946505.752656694,5287526.473263049,-341020.720606355,6046134.643091908,4816545,5148606
2025,4773754,5424210,-650456,5395678.643091908,4773754,5424210
