grouplab,n,pct_stay,pct_continue,chi2,pval
Homeowner,758,75.46174142480211,91.95250659630607,84.22464623762389,5.13866669560e-19
Other or unstable housing,174,63.2183908045977,90.80459770114942,84.22464623762389,5.13866669560e-19
Renter,688,52.32558139534884,86.04651162790698,84.22464623762389,5.13866669560e-19
All respondents,1900,64.10526315789473,88.78947368421053,,
